HOUSEHOLD_ID,DRIVER_ID,POLICY_ID,CLAIM_ID,INCIDENT_CAUSE,DESCRIPTION,CLAIM_STATUS,ODOMETER_AT_LOSS,LOSS_EVENT_TIME,CLAIM_INIT_TIME,POLICE_REPORT,CLAIMS_AT_LOSS_DATE,LOSS_LOCATION_LAT,LOSS_LOCATION_LONG,CLAIM_AMOUNT,FLAG_FOR_FRAUD_INV,PRIMARY_DRIVER_ID,START_DATE,EXPIRY_DATE,MODEL_YEAR,MAKE,MODEL,PLATE,COLOR,INITIAL_ODOMETER,LOW_MILEAGE_USE,FIRST_NAME,LAST_NAME,GENDER,BIRTHDATE,SSN,DRIVERS_LICENSE_ID,DRIVERS_LICENSE_EXPIRY,DRIVERS_LICENSE_STATE,DATE_AT_CURRENT_ADDRESS,CONTACT_NUMBER,EMAIL,COMMUTE_DISCOUNT,WORK_ADDR_NUMB,WORK_ADDR_STREET_NAME,WORK_ADDR_UNIT_DESIGNATION,WORK_ADDR_UNIT_NUMBER,WORK_ADDR_CITY,WORK_ADDR_STATE,WORK_ADDR_ZIPCODE,WORK_ADDR_LATITUDE,WORK_ADDR_LONGITUDE,WORK_ADDR_PBKEY,ADDR_STREET_NUMBER,ADDR_STREET_NAME,ADDR_UNIT_DESIGNATION,ADDR_UNIT_NUMBER,CITY,STATE,ZIPCODE,LATITUDE,LONGITUDE,PBKEY
CH42335,XZJ2837,NW5567882,A-2017-UU907,3,,1,157654.9,00:00.0,00:00.0,1,1,41.90210313,-87.75562353,35765,1,XZJ2837,19/09/2016,19/09/2017,2010,Nissan,Sentra,MJCW106,Silver,144972,0,Will,Dorau,M,25/12/1973,457-20-9007,X151-5971-1594,19/08/2018,IL,16/04/1999,634-603-0960 ,wdorau@freshmaail.com,0,3411,N ASHLAND AVE,,,CHICAGO,IL,60657,41.943749,-87.668369,P00007UWRNHZ,2153,MALLARD LN,,,HANOVER PARK,IL,60133,41.943656,-88.158922,-88.158922
IH49805,VVR6423,UR4864804,A-2018-FI481,3,,3,226154.5,00:00.0,00:00.0,0,1,41.96356191,-87.73139688,1909,0,VVR6423,14/06/2017,14/06/2018,2008,Dodge,Ram,LKUD688,White,212580,0,Tammie,Mostrom,F,14/09/1945,718-38-8987,K702-7678-1851,27/01/2018,IL,09/06/2011,827-916-0381 ,tmostrom@yahoot.com,0,1048,N ASHLAND AVE,,,CHICAGO,IL,60622,41.901134,-87.66778,P00007UWEN7G,13886,W EMMA LN,,,METTAWA,IL,60045,42.249667,-87.903629,-87.903629
AF28736,UQM2512,RR8595908,A-2016-ZG694,1,,1,83968.6,00:00.0,00:00.0,0,2,41.73660156,-87.6049681,25730,1,UQM2512,24/08/2015,23/08/2016,2009,Chevrolet,Equinox,OBQU415,White,77994,1,Esther,Sebranek,F,16/05/1988,076-62-7083,V549-5272-3181,19/11/2019,IL,21/05/2005,723-552-0479 ,esebranek@zohoo.com,0,176,N BRANDON DR,,,GLENDALE HEIGHTS,IL,60139,41.930979,-88.082189,P00007UTGSGT,8726,S DORCHESTER AVE,,,CHICAGO,IL,60619,41.736025,-87.590889,-87.590889
EF53594,YDT5591,RN5640634,A-2016-NG783,1,,1,309570.3,00:00.0,00:00.0,0,1,41.90992525,-87.73155722,40880,1,YDT5591,25/07/2015,24/07/2016,2002,Chevrolet,Equinox,EVOQ882,White,296352,0,Donny,Nickless,M,18/01/1974,571-32-3662,Z350-2956-6553,16/05/2019,IL,11/03/2000,741-637-0631 ,dnickless@life.com,0,4820,W 25TH ST,,,CICERO,IL,60804,41.846048,-87.74515,P00007UWRZX0,543,N HARDING AVE,,,CHICAGO,IL,60624,41.891161,-87.724383,-87.724383
LD32277,ONM5465,YY1229530,A-2017-ZO863,3,,3,136633.9,00:00.0,00:00.0,0,1,41.9237502,-87.78988086,2130,0,JZZ5688,08/01/2016,07/01/2017,2010,Honda,CR-V,OGDM932,White,134244,0,Floyd,Liggan,M,01/05/1950,315-84-4443,E912-8544-3880,06/07/2020,IL,04/07/2012,735-427-0152 ,fliggan@mooosend.com,0,2323,N CLIFTON AVE,,,CHICAGO,IL,60614,41.924384,-87.65684,P00007UWO5N5,6952,S HALSTED ST,,,CHICAGO,IL,60621,41.767273,-87.644831,-87.644831
DM94074,GBU7751,XP3473763,A-2018-XB432,1,,3,326514.1,00:00.0,00:00.0,0,1,41.90925707,-87.78505659,1970,0,BUK6977,15/01/2017,15/01/2018,2004,Ford,F-150,REJM073,White,316848,0,Eula,Warszawski,F,11/07/1996,471-29-3745,I654-9978-4497,26/09/2021,IL,15/07/2001,258-917-0229 ,ewarszawski@husshmail.com,0,8726,W SUMMERDALE AVE,,,CHICAGO,IL,60656,41.976265,-87.845114,P00007UWGCBU,10607,SOUTHWEST HWY,APT,1B,WORTH,IL,60482,41.698491,-87.795412,-87.795412
MD38210,CBR4335,US5444269,A-2017-XP758,2,,3,58477.9,00:00.0,00:00.0,0,1,41.92839511,-87.7964676,2290,0,CBR4335,08/07/2016,08/07/2017,2012,Chevrolet,Impala,CMJQ294,Silver,53232,1,Griselda,Loner,F,17/01/1994,831-08-6699,U505-6792-6383,10/05/2019,IL,08/04/2004,237-542-0511 ,gloner@inboux.com,0,165,N FIELD BLVD,APT,F27,CHICAGO,IL,60601,41.884987,-87.616671,P00007UWMP0L,1745,BUTTERFIELD LN,,,FLOSSMOOR,IL,60422,41.529887,-87.667547,-87.667547
GL77908,HZF3884,XR1994270,A-2017-QY946,1,,3,176476.9,00:00.0,00:00.0,0,1,41.88571554,-87.72837561,2990,0,QAX1481,11/08/2016,11/08/2017,2010,Kia,Sportage,ZXUR990,Med Dk Blue,165900,0,Octavio,Schneweis,M,28/05/1948,533-58-6360,U229-6740-4370,26/04/2019,IL,02/02/1999,358-965-0435 ,oschneweis@inboux.com,0,5645,N GLENWOOD AVE,,,CHICAGO,IL,60660,41.984938,-87.664576,P00007UWGJE3,940,S LINDEN AVE,,,ELMHURST,IL,60126,41.870344,-87.927946,-87.927946
BA26199,CSE9523,VP6368585,A-2018-LB818,3,,3,277812.7,00:00.0,00:00.0,0,1,41.89505399,-87.74566176,1170,0,CSE9523,13/10/2017,13/10/2018,2006,Nissan,Sentra,MUWC424,Black,268104,0,Hiram,Tobal,M,06/06/2001,177-05-4386,C119-6069-3125,15/04/2021,IL,07/03/2005,342-300-0794 ,htobal@zohoo.com,0,5126,NEW HAVEN CT,,,PLAINFIELD,IL,60586,41.547886,-88.206594,P00007UU9VWF,45,SWIFT LN,,,NAPERVILLE,IL,60565,41.745043,-88.132447,-88.132447
EA38976,HFX7408,YP9758006,A-2016-QD338,5,,3,190541.3,00:00.0,00:00.0,0,1,41.89197561,-87.61458027,2090,0,HFX7408,23/06/2015,22/06/2016,2008,Kia,Sportage,DSBF062,Med. Dark Gray,178656,0,Daphne,Combis,F,13/05/1996,663-04-9631,H990-2061-2569,07/08/2019,IL,04/03/2012,729-508-0389 ,dcombis@mooosend.com,0,8755,S THROOP ST,,,CHICAGO,IL,60620,41.734304,-87.655375,P00007UUIRM0,2930,N SHERIDAN RD,APT,808,CHICAGO,IL,60657,41.935238,-87.639715,-87.639715
GB64343,PXE3728,XY6800348,A-2017-CK710,1,,3,290975.1,00:00.0,00:00.0,0,1,41.91122338,-87.63865603,2130,0,PXE3728,14/04/2016,14/04/2017,2005,Kia,Optima,YSOB682,Med. Dark Gray,280368,0,Lea,Vandriessche,F,15/03/1984,597-29-1657,E935-8533-8050,02/07/2019,IL,03/05/2017,751-341-0972 ,lvandriessche@outloop.com,0,4956,W RACE AVE,,,CHICAGO,IL,60644,41.8907,-87.750374,P00007UWQWUY,5823,N RAVENSWOOD AVE,APT,114,CHICAGO,IL,60660,41.987778,-87.674221,-87.674221
JG99629,OKH5337,ZK6994471,A-2018-WF114,3,,1,159873.2,00:00.0,00:00.0,1,5,41.73583545,-87.66786637,33040,1,OKH5337,22/02/2017,22/02/2018,2010,Hyundai,Sonata,XRIG314,Med Dk Blue,157344,0,Chuck,Matovich,M,17/08/1944,859-29-4381,B243-8755-9939,29/03/2018,IL,06/07/2008,235-819-0662 ,cmatovich@mmail.com,0,1300,INVERRARY LN,,,PALATINE,IL,60074,42.141338,-88.01146,P00007UT7L9C,519,RAE AVE,,,LAKE VILLA,IL,60046,42.425972,-88.095956,-88.095956
FH81231,RQZ1566,ZR4462879,A-2018-VT470,1,,3,391866.9,00:00.0,00:00.0,0,1,41.73416431,-87.55121062,2400,0,FSC3949,10/01/2017,10/01/2018,1998,Dodge,Durango,WGOW284,Med Dark Green,385536,0,Charley,Royland,M,10/03/1976,402-37-9515,A797-1886-8312,01/04/2018,IL,15/05/2012,335-799-0958 ,croyland@lightemail.com,0,225,POSTON RD,,,WILLOW SPRINGS,IL,60480,41.743216,-87.861541,P00007UU0ME7,1573,SWALLOW ST,,,NAPERVILLE,IL,60565,41.740917,-88.12917,-88.12917
